#,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type",Consumable,"Asset Name","Asset Description","Bin Location","Pick Number",Campus,Building,Room,Zone,Category,"Custom Label and Max booking limit",Course,Store
242,No,No,No,No,No,No,Yes,DMM01231,0,No,"G:Drive 1TB #16","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
243,No,No,No,No,No,No,Yes,DMM01232,0,No,"G:Drive 1TB #17","1TB External Hard Drive
Comes with USB A cable",,,,PATS,PA16,,"Hard Drives",,,
244,No,No,No,No,No,No,Yes,DMM01233,0,No,"G:Drive 1TB #18","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
245,No,No,No,No,No,No,Yes,DMM01234,0,No,"G:Drive 1TB #19","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
246,No,No,No,No,No,No,Yes,DMM01217,0,No,"G:Drive 1TB #2","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
247,No,No,No,No,No,No,Yes,DMM01235,0,No,"G:Drive 1TB #20","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
248,No,No,No,No,No,No,Yes,DMM01236,0,No,"G:Drive 1TB #21","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
249,No,No,No,No,No,No,Yes,DMM01218,0,No,"G:Drive 1TB #3","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
250,No,No,No,No,No,No,Yes,DMM01219,0,No,"G:Drive 1TB #4","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
251,No,No,No,No,No,No,Yes,DMM01220,0,No,"G:Drive 1TB #5","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
252,No,No,No,No,No,No,Yes,DMM01221,0,No,"G:Drive 1TB #6","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
253,No,No,No,No,No,No,Yes,DMM01222,0,No,"G:Drive 1TB #7","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
254,No,No,No,No,No,No,Yes,DMM01223,0,No,"G:Drive 1TB #8","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
255,No,No,No,No,No,No,Yes,DMM01225,0,No,"G:Drive 1TB #9","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
256,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00550, DMM00551",0,No,"Glidecam XR-Pro",,,,,P.A.T.S,PA16,I4,"Tripods & Mounts",,,
257,No,No,No,No,No,No,Yes,DMM00780,0,No,Glockenspiel,,,,,P.A.T.S,"Std 1 Percussion Cupboard",,"Musical Instruments",,,
258,No,No,No,No,No,No,Yes,DMM01121,0,No,"Granite Temple Blocks",,,,,P.A.T.S,"Std 1 Percussion Cupboard",,"Musical Instruments",,,
259,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00689,0,No,"Hague DRIVE Camslide Slider",,,,,P.A.T.S,PA16,,"Tripods & Mounts",,,
260,No,No,No,No,No,No,Yes,DMM01115,0,No,"Haken Audio ContinuuMini","Comes with: 
Mini USB lead
Ground Loop Noise Isolator

Haken Audio ContinuuMini & EaganMatrix Basics:
https://youtu.be/qe3t6uFrDNk

Haken Audio EaganMatrix Fundamentals for ContinuuMini - Part 1:
https://youtu.be/PLDb3fej28w

Haken Audio ContinuuMini & EaganMatrix Fundamentals - Part 2:
https://youtu.be/z7wfhJM4ejU

Haken Editor:
https://www.hakenaudio.com/editor-and-firmware

Guide to practicing ContinuuMini:
https://youtu.be/kQ73yr97wqc",,,,P.A.T.S,PA16,J3,"Computer Interfaces & Peripherals",,"UOS / CMT",
261,Yes,No,No,No,No,Yes,Yes,DMM00056,0,No,"Hebden Sound HS3000 x2 kit 1","Includes omni, sub-cardioid, cardioid, hyper-cardioid capsules.",,,,P.A.T.S,,A3,"Microphones, Directivity: Omni, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",,,
262,No,No,No,No,No,No,Yes,DMM00057,0,No,"Hebden Sound HS3000 x2 kit 2","Includes omni, sub-cardioid, cardioid, hyper-cardioid capsules.",,,,P.A.T.S,,A3,"Microphones, Directivity: Omni, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",,,
263,Yes,No,No,No,No,Yes,Yes,DMM00058,0,No,"Hebden Sound HS3000 x2 kit 3","Includes sub-cardioid, cardioid, hyper-cardioid capsules.",,,,P.A.T.S,,A3,"Microphones, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",,,
264,Yes,No,No,No,No,Yes,Yes,DMM00059,0,No,"Hebden Sound HS3000 x2 kit 4","Includes sub-cardioid, cardioid, hyper-cardioid capsules.",,,,P.A.T.S,,A3,"Microphones, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",,,
265,No,Yes,No,Yes,Yes,Yes,Yes,DMM01071,0,No,"Hollyland MARS Pro Wireless Transmission","Hollyland MARS 400s Pro HDMI + SDI Wireless Transmission System",,,"Stag Hill",AC,04AC01,,"Wireless Systems",,,
266,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00638, DMM00639",0,No,"Hot-Shoe LED light",,,,"Stag Hill",AC,04AC01,,Lighting,,,
267,No,No,No,No,Yes,Yes,Yes,"DMM00748, DMM00749",0,No,"Ianiro Panel Light ",,,,,P.A.T.S,PA16,,Lighting,,,
268,No,No,No,No,No,No,No,DMM00836,0,No,"IDS Indie Dolly Systems curved track kit","Makes a 90 degree segment of 20 ft diameter circle.",,,,"AC (Lewis Carroll)",,,Stock,,"FASS / DMA",
269,No,Yes,No,Yes,Yes,Yes,Yes,DMM00820,0,No,"iLok Kit 1","iZotope RX and Re-vibe iLok key, with USB containing installers.",,,,,,B1,Dongles,,,
270,No,Yes,No,Yes,Yes,Yes,Yes,DMM00690,0,No,"Indy Dolly System","This item requires approval from DMA",,,,P.A.T.S,PA16,,"Tripods & Mounts",,,
271,No,No,No,No,No,No,Yes,DMM00691,0,No,"Interfit Cor 750 Light Stand",,,,,P.A.T.S,PA16,,"Tripods & Mounts",,,
272,No,No,No,No,No,No,Yes,DMM00103,0,No,"JoeCo Multitrack Recorder","BLACKBOX BBR64-MADI RECORDER
- MADI coax (BNC) in and out.
- MADI optical in and out.
- Wordclock in or out (switchable BNC). 
- 8 x balanced analogue inputs on 25w D-type (Tascam format)",,,,P.A.T.S,,,"Portable Recorders",,,
273,No,Yes,No,Yes,Yes,Yes,Yes,DMM00552,0,No,"JVC 9"" Location Monitor","Mains or battery powered JVC location monitor with case",,,"Stag Hill",AC,04AC01,,"Location Video Monitors",,,
274,No,No,No,No,Yes,Yes,Yes,"DMM00381, DMM00385, DMM00390, DMM00796",0,No,"JVC Camcorder Kit","Kit Contains:
1x JVC Camcorder GY-HM100
1x Battery
** Battery Charger missing **
1x Mains Power Adaptor

*Note - Please remember to book your required number of SD cards separately*

Camera serial - 154A3578",,,,P.A.T.S,PA16,K1,Camcorders,,,
275,No,No,No,No,No,No,No,DMM00822,0,No,"JVC No. 1 (Cam 4)",,,,,,,,Camcorders,,,
276,No,No,No,No,No,No,Yes,DMM00692,0,No,"Kessler Pocket Jib (Camera Crane)",,,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,,
277,No,No,No,No,No,No,Yes,DMM00143,0,No,"K&M Stereo bar 1 (Large)","K&M Stereo Bar
Approx. 37cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
278,No,No,No,No,No,No,Yes,DMM00144,0,No,"K&M Stereo Bar 2 (Large)","K&M Stereo Bar
Approx. 37cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
279,No,No,No,No,No,No,Yes,DMM00145,0,No,"K&M Stereo Bar 3 (Large)","K&M Stereo Bar
Approx. 37cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
280,No,No,No,No,No,No,Yes,DMM00880,0,No,"K&M Stereo Bar 4 (Large)","K&M Stereo Bar
Approx. 37cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
281,No,No,No,No,No,No,Yes,DMM00881,0,No,"K&M Stereo Bar 5 (Small)","K&M Stereo Bar
Approx. 19cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
282,No,No,No,No,No,No,Yes,DMM00882,0,No,"K&M Stereo Bar 6 (Small)","K&M Stereo Bar
Approx. 19cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
283,No,No,No,No,No,No,Yes,DMM01005,0,No,"K&M Stereo Bar 7 (Small)","K&M Stereo Bar
Approx. 19cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
284,No,No,No,No,No,No,Yes,DMM01006,0,No,"K&M Stereo Bar 8 (Small)","K&M Stereo Bar
Approx. 19cm in length",,,,P.A.T.S,,,"Trees & stereo bars",,,
285,No,No,No,No,No,No,Yes,DMM01031,0,No,"Koma Field Kit Electro Acoustic Workstation","Comes in wooden box with PSU",,,,P.A.T.S,PA16,A0,"Computer Interfaces & Peripherals",,,
286,No,No,No,No,No,No,Yes,DMM01030,0,No,"Koma Field Kit FX","Comes in wooden box with PSU",,,,P.A.T.S,PA16,A0,"Computer Interfaces & Peripherals",,,
287,No,No,No,No,No,No,Yes,DMM01035,0,No,"Korg Minilogue XD","Polyphonic Analogue Synth
Comes with PSU
Specifications:
https://www.korg.com/uk/products/synthesizers/minilogue_xd/specifications.php",,,,P.A.T.S,PA16,I5,"Musical Instruments, Computer Interfaces & Peripherals",,"UOS / CMT",
288,No,No,No,No,No,No,Yes,DMM01020,0,No,"Korg MS-20 Mini Synthesizer 1","Comes with patch cables, PSU, manual & carry case",,,,P.A.T.S,PA16,K4,"Performance equipment, Musical Instruments",,"UOS / CMT",
289,No,No,No,No,No,No,Yes,DMM01021,0,No,"Korg MS-20 Mini Synthesizer 2","Comes with patch cables, PSU, manual & carry case",,,,P.A.T.S,PA16,K4,"Performance equipment, Musical Instruments",,"UOS / CMT",
290,No,No,No,No,No,No,Yes,"DMM01041, DMM01061, DMM01042, DMM01043, DMM01044, DMM01045, DMM01046, DMM01040, DMM01059, DMM01060",0,No,"Korg nanoKONTROL2","Slimline USB Controller
Comes with USB lead.
Specifications:
https://www.korg.com/uk/products/computergear/nanokontrol2/page_1.php",,,,P.A.T.S,PA16,J4,"Computer Interfaces & Peripherals",,"UOS / CMT",
291,No,No,No,No,No,No,Yes,DMM01024,0,No,"Korg SQ-1 Analogue Step Sequencer","Comes with mini-jack to Midi lead.
Requires 2 x AA batteries",,,,P.A.T.S,PA16,K4,"Computer Interfaces & Peripherals",,"UOS / CMT",
292,No,No,No,No,No,No,Yes,DMM01067,0,No,"Korg SQ-64 Poly Sequencer","Comes with USB Lead
Specifications: https://www.korg.com/uk/products/dj/sq_64/specifications.php",,,,P.A.T.S,PA16,J4,"Computer Interfaces & Peripherals",,"UOS / CMT",
293,No,No,No,No,No,No,Yes,DMM01237,0,No,"Lacie 1TB USB-C HD #1","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
294,No,No,No,No,No,No,Yes,DMM01246,0,No,"Lacie 1TB USB-C HD #10","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
295,No,No,No,No,No,No,Yes,DMM01247,0,No,"Lacie 1TB USB-C HD #11","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
296,No,No,No,No,No,No,Yes,DMM01248,0,No,"Lacie 1TB USB-C HD #12","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
297,No,No,No,No,No,No,Yes,DMM01249,0,No,"Lacie 1TB USB-C HD #13","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
298,No,No,No,No,No,No,Yes,DMM01250,0,No,"Lacie 1TB USB-C HD #14","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
299,No,No,No,No,No,No,Yes,DMM01251,0,No,"Lacie 1TB USB-C HD #15","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
300,No,No,No,No,No,No,Yes,DMM01252,0,No,"Lacie 1TB USB-C HD #16","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
301,No,No,No,No,No,No,Yes,DMM01253,0,No,"Lacie 1TB USB-C HD #17","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
302,No,No,No,No,No,No,Yes,DMM01238,0,No,"Lacie 1TB USB-C HD #2","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
303,No,No,No,No,No,No,Yes,DMM01239,0,No,"Lacie 1TB USB-C HD #3","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
304,No,No,No,No,No,No,Yes,DMM01240,0,No,"Lacie 1TB USB-C HD #4","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
305,No,No,No,No,No,No,Yes,DMM01241,0,No,"Lacie 1TB USB-C HD #5","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
306,No,No,No,No,No,No,Yes,DMM01242,0,No,"Lacie 1TB USB-C HD #6","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
307,No,No,No,No,No,No,Yes,DMM01243,0,No,"Lacie 1TB USB-C HD #7","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
308,No,No,No,No,No,No,Yes,DMM01244,0,No,"Lacie 1TB USB-C HD #8","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
309,No,No,No,No,No,No,Yes,DMM01245,0,No,"Lacie 1TB USB-C HD #9","1TB External Hard Drive 
USB-C Connection
Comes with two cables: USB-A to USB-C and USB-C to USB-C",,,,PATS,PA16,,"Hard Drives",,,
310,No,No,No,No,No,No,Yes,DMM01255,0,No,"Lacie Mini 1TB HD #18","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
311,No,No,No,No,No,No,Yes,DMM01256,0,No,"Lacie Mini 1TB HD #19","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
312,No,No,No,No,No,No,Yes,DMM01257,0,No,"Lacie Mini 1TB HD #20","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
313,No,No,No,No,No,No,Yes,DMM01258,0,No,"Lacie Mini 1TB HD #21","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
314,No,No,No,No,No,No,Yes,DMM01259,0,No,"Lacie Mini 1TB HD #22","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
315,No,No,No,No,No,No,Yes,DMM01260,0,No,"Lacie Mini 1TB HD #23","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
316,No,No,No,No,No,No,Yes,DMM01261,0,No,"Lacie Mini 1TB HD #24","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
317,No,No,No,No,No,No,Yes,DMM01262,0,No,"Lacie Mini 1TB HD #25","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
318,No,No,No,No,No,No,Yes,DMM01263,0,No,"Lacie Mini 1TB HD #26","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
319,No,No,No,No,No,No,Yes,DMM01264,0,No,"Lacie Mini 1TB HD #27","1TB External Hard Drive 
Comes with USB-A cable",,,,PATS,PA16,,"Hard Drives",,,
320,No,No,No,No,No,No,Yes,DMM01265,0,No,"Lacie Mini 1TB HD #28","1TB External Hard Drive 
Comes with USB-A cable
No Box",,,,PATS,PA16,,"Hard Drives",,,
321,No,No,No,No,No,No,Yes,DMM01266,0,No,"Lacie Mini 1TB HD #29","1TB External Hard Drive 
Comes with USB-A cable
No box and in a StarTech Caddy",,,,PATS,PA16,,"Hard Drives",,,
322,No,No,No,No,No,No,Yes,DMM01277,0,No,"Lacie Mini 1TB HD #30","1TB External Hard Drive 
Comes with USB-A and USB-C cables",,,,PATS,PA16,,"Hard Drives",,,
323,No,No,No,No,No,No,Yes,DMM00211,0,No,"Large mic stand no. 1",,,,,P.A.T.S,,,"Microphone stands",,,
324,No,No,No,No,No,No,Yes,DMM00212,0,No,"Large mic stand no. 2",,,,,P.A.T.S,,,"Microphone stands",,,
325,No,Yes,No,Yes,Yes,Yes,Yes,DMM00910,0,No,"Lastolite EzyBalance",,,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
326,No,Yes,No,Yes,Yes,Yes,Yes,DMM01107,0,No,"Lastolite EzyBalance","18% Grey / White",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
327,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00553, DMM00554",0,No,"Lastolite Reflector - Large","Circular collapsible. Side 1 - ""Sunlite"" silver / gold stripe; Side 2 - silver.",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
328,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00555, DMM00640, DMM00556, DMM00641, DMM00642",0,No,"Lastolite Reflector - Medium","Circular collapsible, ""Sunlite"" silver / gold striped.",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
329,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00643, DMM00644, DMM00645",0,No,"Lastolite Reflector - Small","Circular collapsible, gold.",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
330,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01017,0,No,"Lastolite SkyRapid Fabric Diffuser Square","Skylite Rapid Cover Midi 1.5 x 1.5m 1.25 Stop Diffuser
Comes with 1.5m x 1.5m frame
Collapsible and all lives in a case",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
331,No,No,No,No,No,No,Yes,"DMM00812, DMM00813, DMM00814, DMM00815",0,No,"Leap Motion Controller",,,,,,,A0,"Computer Interfaces & Peripherals",,,
332,Yes,Yes,No,Yes,Yes,Yes,Yes,LTC,1,No,"Lecture Theatre C (LTC)",,,,"Stag Hill",,,,Other,,,
333,No,No,No,No,No,No,Yes,DMM00825,0,No,"LED Lighting Kit 1","2 x LED RGB/Dimmer panel lights with Stands.",,,,P.A.T.S,PA16,"Tonnie Transit",Lighting,,Ton,
334,No,No,No,No,No,No,Yes,DMM00826,0,No,"LED Lighting Kit 2","LED Panel lights x 2 with RGB/Dimmer control, comes with 2 stands",,,,,PA17,"Tonnie Transit",Lighting,,Ton,
335,No,No,No,No,No,No,Yes,DMM00152,0,No,"Lexicon LARC","Remote for using CAR 480L in Studio 2 and edit rooms.",,,,P.A.T.S,,C5,"Effects units and pre amps",,,
336,No,Yes,No,No,No,Yes,Yes,"DMM00693, DMM00694, DMM00695, DMM00696, DMM00697, DMM00698, DMM00699, DMM00700, DMM00701, DMM00702, DMM00703",0,No,"Libec Tripod","Medium weight tripod for DSLR''s",,,,P.A.T.S,PA16,F3,"Tripods & Mounts",,,
337,No,Yes,No,Yes,Yes,Yes,No,"DMM01080, DMM01081, DMM01082, DMM01083",0,No,"Lilliput LCD Field Monitor","Kit includes:
Lilliput 7"" LCD Monitor
Sun hood
4-pin female XLR to 3-pin male XLR & power connector
Lens camera controller
Focus iris camera controller
2 x smallrig arms
Manfrotto adjustable clamp
75mm VESA and hot shoe mounts
Carry case",,,"Stag Hill",AC,04AC01,,"Location Video Monitors",,,
338,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00588, DMM00589",0,No,"Lishuai LED Panel","Lishuai P-1380ASVL High Output Soft LED Light - Bi Colour
Can be run from a V lock battery",,,"Stag Hill",AC,04AC01,,Lighting,,,
339,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00590, DMM00591, DMM00592",0,No,"Location Floor Monitor",,,,"Stag Hill",AC,04AC01,,"Location Video Monitors",,,
340,No,No,No,No,No,No,Yes,DMM00890,0,No,"Location Monitor Kit 1","Case contains:
2x Neumann Active Monitor speakers
1x HD25 heaphones
1 x Cable Tester CT100
2 x 16gb SD cards
1 x USB-SD reader
1 x Socket tester
2 x Circuit Breakers
2 x BLack XLR cables
2 AES/EBU LEads
2 x Allen Keys",,,,,,,"Monitors and Amps, Mobile boxes",,Ton,
341,No,No,No,No,No,No,Yes,DMM00891,0,No,"Location Monitor Kit 2","Case contains:
2x Neumann Active Monitor speakers
1x HD25 heaphones
1 x Cable Tester CT100
2 x 16gb SD cards
1 x USB-SD reader
1 x Socket tester
2 x Circuit Breakers
2 x BLack XLR cables
2 AES/EBU LEads
2 x Allan Keys",,,,,,,"Monitors and Amps, Mobile boxes",,Ton,
342,No,No,No,No,No,No,Yes,DMM00646,0,No,"Lowel ID Light with barn doors",,,,,"AC (Lewis Carroll)",,,Lighting,,,
343,No,No,No,No,No,No,Yes,DMM00010,1,No,"Lower Foyer","If you wish to book this space you MUST check with Sarah Sage (s.sage@gsa.surrey.ac.uk) at GSA that they are not using this space at the time of your booking.",,,"Stag Hill",PATS,,,"PATS Rooms",,,
344,No,No,No,No,No,No,Yes,DMM01101,0,No,"Ludwig - 402 Supraphonic Snare","ludwig 402 supraphonic snare",,,,,PA17,,"Musical Instruments",,,
345,No,No,No,No,No,No,Yes,"DMM00647, DMM00648, DMM00649, DMM00650",0,No,"Lupo Fluorescent Panel Light ",,,,,P.A.T.S,PA16,I5,Lighting,,,
346,No,No,No,No,No,No,Yes,DMM01028,0,No,"Lyra-8 Analog Synthesizer","Comes with PSU, clear hard cover & hard carry case",,,,P.A.T.S,PA16,J4,"Performance equipment, Musical Instruments",,"UOS / CMT",
347,No,No,No,No,No,No,Yes,DMM00149,0,No,"MA90 Stereo Bar No.1",,,,,P.A.T.S,,,"Trees & stereo bars",,,
348,No,No,No,No,No,No,Yes,DMM00150,0,No,"MA90 Stereo Bar No.2",,,,,P.A.T.S,,,"Trees & stereo bars",,,
349,No,No,No,No,No,No,Yes,DMM00151,0,No,"MA90 Stereo Bar No.3",,,,,P.A.T.S,,,"Trees & stereo bars",,,
350,No,No,No,No,No,No,Yes,DMM00181,0,No,"Mackie 8-channel motorised faders","Mackie 8-channel motorised faders with MIDI interface.",,,,,"09 BC 03",,"Research equipment",,,
351,No,No,No,No,Yes,Yes,Yes,DMM01132,1,No,"MacLab (02 AC 02)","Mac Labs",,,"Stag Hill",AC,,,"Media Labs",,,
352,No,No,No,No,No,No,Yes,DMM00223,0,No,"Mains Distribution no. 1","15 metre cable with 4 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
353,No,No,No,No,No,No,Yes,DMM00224,0,No,"Mains Distribution no. 2","15 metre cable with 4 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
354,No,No,No,No,No,No,Yes,DMM00225,0,No,"Mains Distribution no. 3","5 metre Cable with 4 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
355,No,No,No,No,No,No,Yes,DMM00226,0,No,"Mains Distribution no. 4","5 metre Cable with 4 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
356,No,No,No,No,No,No,Yes,DMM00227,0,No,"Mains Distribution no. 5","5 metre cable with 4 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
357,No,No,No,No,No,No,Yes,DMM00228,0,No,"Mains Distribution no. 6","15 metre cable with 4 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
358,No,No,No,No,No,No,Yes,DMM00218,0,No,"Mains Extension no. 1","10 metre cable with 2 sockets.",,,,P.A.T.S,,,"Mains extensions",,,
359,No,No,No,No,No,No,Yes,DMM00219,0,No,"Mains Extension no. 2","10 metre cable with 2 sockets.",,,,P.A.T.S,,,"Mains extensions",,,
360,No,No,No,No,No,No,Yes,DMM00220,0,No,"Mains Extension no. 3","10 metre cable with 2 sockets.",,,,P.A.T.S,,,"Mains extensions",,,
361,No,No,No,No,No,No,Yes,DMM00221,0,No,"Mains Extension No. 4","5 metre cable with 2 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
362,No,No,No,No,No,No,Yes,DMM00222,0,No,"Mains Extension No. 5","5 metre cable with 2 sockets.",,,,P.A.T.S,,,"Mains distribution",,,
363,No,No,No,No,Yes,Yes,Yes,DMM00834,0,No,"Manfroto 546 Tripod","(for VariCam LT) Only bookable by tutors for the moment",,,,,,,"Tripods & Mounts",,"FASS / DMA",
364,No,No,No,No,No,No,Yes,DMM00704,0,No,"Manfrotto 290 Monopod",,,,,P.A.T.S,PA16,,"Tripods & Mounts",,,
365,No,Yes,No,Yes,Yes,Yes,Yes,DMM01120,0,No,"Manfrotto 525MVB Tripod","Manfrotto 525MVB Tripod with 519 Pro Video fluid head, two pan handles and Manfrotto 114MV dolly",,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,,
366,No,Yes,No,Yes,Yes,Yes,Yes,DMM00593,0,No,"Manfrotto Autople",,,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,,
367,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00705,0,No,"Manfrotto Fig-Rig - No. 02",,,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,,
368,No,Yes,No,Yes,Yes,Yes,Yes,DMM00915,0,No,"Manfrotto Magic arm No1","Lighting and Flag support mount",,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,,
369,No,Yes,No,Yes,Yes,Yes,Yes,DMM00916,0,No,"Manfrotto Magic arm No2","Lighting and Flag support mount",,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,,
370,No,No,No,No,No,No,No,DMM00213,0,No,"Manfrotto mic stands (Set of 3)","Manfrotto 1004BAC 124-366cm BK

Air damped aluminium stand with 4 sections
3 Pull-outs ( 35, 30, 25, 20 mm)
Feet : 22 mm
Min. height: 124 cm
Max. height: 366 cm
Transport length: 107 cm
Stand area: 106 cm
Max. load-bearing capacity: 9.0 kg
Weight: 2.15 kg
Mount: Type 19 + Manfrotto 015 Adapter
Colour: Black",,,,P.A.T.S,,,"Microphone stands",,,
371,No,Yes,No,Yes,No,Yes,Yes,"DMM00844, DMM00846, DMM00845",0,No,"Manfrotto Monitor Stand ","Tall, heavy duty stand for Sony location monitors",,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,FPBE,
